Capterra-Forms-On-Fire
Job Title,Industry,Used For,Overall,Pros,Cons,Date
Technical Project Delivery Lead,"Renewables & Environment, 5001-10,000 employees",Used the software for: 2+ years,"Pros: In one word: flexibility. Basic forms can be developed by almost anybody. More advanced forms can be developed by getting a little creative, though you may need to reach out to Forms on Fire to help implement your desired solution.","Cons: Forms on Fire can be incredibly complex, requiring users to do a lot of learning.",Switched From: Laserfiche,
Marketing Coordinator,"Leisure, Travel & Tourism, 51-200 employees",Used the software for: 2+ years,Overall: The mobile experience is great overall. We got problems with specific form when we tried to get a task done.The mobile version is pretty much intuitive. Users learned very quickly by themselves.,Pros: This software has multiple features.The form builder offers you any kind of options you'd have and needs.Their customer service and technician quickly reply to your questions and problems.Detailed users management.,"Cons: The form builder is a bit tricky to learn. If your needs are basics features it's quite simple, but since you get in more complex forms then you'd probably need their help to get it work properly.","April 18, 2020"
Territory Manager,"Architecture & Planning, 51-200 employees",Used the software for: 1-2 years,"Overall: Mobile option helped us stay informed with weekly, monthly and yearly sales at all of our assigned store locations.","Pros: Ease of use with platform. I visit stores daily and use this tool to keep track of previous visits, sales data has been incorporated into the tool, as well as relevant information to help keep stores and my on track. This software was modified to fit what the Territory Managers with my company needed and required of the tool.","Cons: Excellent initial product, but needed modified to fit my job.","April 18, 2020"
Product Manager,"Medical Devices, 1001-5000 employees",Used the software for: 2+ years,Overall: Collecting an extensive amount of information and submitting it to the CRM via REST Requests. ,Pros: The level of flexibility you get in FoF is insane. You can basically create any form that will be tailored to your business needs. A variety of integration options supports this statement.,Cons: More design customizations and remote user management would make a great addition to the features set of FoF.,"May 9, 2022"
VP,"Hospital & Health Care, 51-200 employees",Used the software for: 1-2 years,Overall: Ease of doing forms online in the field,Pros: Once you learn the program it is easy to use. The setup is easy to use with tablets in the field.,Cons: There is a learning curve on creating the forms.When there is an error in your form it is not always easy to trace back.I also think that the program is the most glitchy when I am creating a large form.,"April 11, 2018"
Executive Chairman,"Renewables & Environment, 51-200 employees",Used the software for: Less than 6 months,Overall: It's been extremely positive. From implementation to support the people there have been wonderful.,Pros: The sheer amount of API and Cap integrations make this software so versatile in managing and collecting data. All you need to do is set it up on the back-end and users will intuitively understand how to make it work.,"Cons: Nothing yet, so far this has been exactly as I had hoped it would be.","April 23, 2021"
Property manager,"Real Estate, 11-50 employees",Used the software for: 2+ years,Overall: My overall experience has been great. I've been using Forms On Fire for almost 3 years and have no complaints!,Pros: I love how easy the app is and the different apps we have been able to build within forms on fire. It makes our day-to-day easier.,Cons: At this time I cannot think of any features that need improvement.,"August 10, 2022"
Analyst,"Retail, 11-50 employees",Used the software for: 1-2 years,Overall: [SENSITIVE CONTENT HIDDEN] at Forms on Fire helped us to build a mobile app to support all of our merchandising representatives visiting retail stores across the country.They have up-to-date store data at their fingertips as well as all the notes they took the last time they visited.,Pros: The platform provides the standard infrastructure along with incredible flexibility to build the app that your business needs.,Cons: I only wish I was able to spend the time learn how to do more of the programming myself. ,"April 21, 2020"
Sales Director,"Transportation/Trucking/Railroad, 1-10 employees",Used the software for: Less than 6 months,Overall: We chose to move to electronic forms because our tech lost the occasional work order and this incurs costs for our company and we wanted to eliminate losses from that department. With forms on fire there is no reason to ever lose a form again.,"Pros: Price: We're a small business so we didn't want to spend huge amounts of money on this solution and the folks at forms on fire have been able to give us everything we wanted at a very fair price. Work performed: The work they put in our forms was astounding and the effort to meet our deadlines was impressive ( we met the deadline btw). The end result is a very intuitive form that we're proud of showing off to our customers and that our employees love. ","Cons: As far as I'm concerned there are no cons, you could argue that the software has a bit of a learning curve but I would argue back that any powerful ( feature packed) software has a steep learning curve.","August 24, 2017"
Branch Manager,"Public Safety, 201-500 employees",Used the software for: 2+ years,Overall: Extremely pleased.Easy to use and to instruct new hires ,Pros: Very easy to navigate.Format is easy to navigate,Cons: I have no issues with this program.It offers everything we need.,"May 3, 2020"
Office Manager,"Restaurants, 51-200 employees",Used the software for: 6-12 months,Pros: I like the ease with which my field reps can do their inspection reports.And its fairly easy to program the pages once I learned how.I've also been able to upload some reference materials that field reps can view and share with store owners and that is very convenient.,Cons: Data Entries Table View is cumbersome.I'd like to be able to sort the columns by relevance so I can see at a glancethe info I need.Or it would be helpful if I could freeze pane so I can keep the left column stable while scrolling through the next 20 columns.,,"April 10, 2018"
Senior Data Engineer,"Transportation/Trucking/Railroad, 1-10 employees",Used the software for: 1-2 years,Overall: We are using Forms on Fire to digitise engineering inspection processes in the rail industry.,Pros: - Lots of options for form field types- Lots of flexibility with integrations to other systems and external data connections (G drive etc)- Great usage of offline data storage and gps tracking- Designed in such a way that lots of simple building blocks can be used to create quite sophisticated data entry applications.- Support is great and ver,Cons: - Support is mostly centred around US timezones (we are Australian),
Director,Unspecified,Used the software for: Less than 6 months,Pros: Seems simple to use once it is setup.Customer service is pleasant but the email help is obtuse. Simple terminology would be more helpful.,Cons: Difficult to get started. The help emails are designed for computer geeks. They assume that lay people understand the terms used.,,
Project Controller,"Logistics and Supply Chain, 201-500 employees",Used the software for: 1-2 years,Overall: This is a good App and hope it gets better.,Pros: Its easy to use both on mobile and computer.,Cons: You have to force sync to have it working sometimes.,"March 4, 2021"
Accounting Manager,"Real Estate, 11-50 employees",Used the software for: 1-2 years,Overall: Lifesaver for what we need. ,Pros: I like the pdf that is automatically generated when a user completes a form. It adds a timestamp and geographical location and can easily be emailed to our clients. ,"Cons: When there are technical difficulties, it's really hard to get in touch with support. ","April 20, 2020"
Operations Manager,"Construction, 1-10 employees",Used the software for: 2+ years,Overall: Helps us stand out from the competition,Pros: Connectivity with other software. It allows us to include pictures into the report.,"Cons: Programming is not that easy, hard to learn.",
Director of Marketing,Unspecified,Used the software for: 6-12 months,Overall: Ability to gather info from guys in the field and turn it into nice-looking reports for customers and actionable knowledge for the office.,"Pros: When my business needed a form built and I was tired of waiting for programmers to build stuff for us that cost a lot of money and our time trying to explain to them what we needed, then wasn't quite right because they still don't really understand our business, I decided to build one myself. I then spent a lot of time looking at different products, and most of the ones that had the core functionality I needed (the ability to automatically create PDFs) were either too annoyingly simple and couldn't make the calculations I needed or they were so complex I would have to learn a lot of programming. Thank goodness I found Forms on Fire! It's the perfect middle ground that lets me do amazing things with a little work and playing around but takes care of the basics in the background.","Cons: They have a knowledge base that is great for getting started, but often doesn't show enough examples for me to quickly understand how to make their more advanced features work. And sometimes they go ahead and release new features (yay!) without fully debugging or writing up how to use or the bugs they've already found and are working on.","May 25, 2018"
Project Manager,"Automotive, 1-10 employees",Used the software for: 1-2 years,Overall: Forms on fire was exactly the middle ground we needed between being offline using paper and developping our own mobile app for internal use. We decided that simply digitizing the forms was the best use of our time and money and it has had a great ROI. Within the first 3 weeks of using FoF we were able to increase productivity and decrease paper to computer entry completely. Reports that usually took 1 hrs to gather the information and another hour to digitize and publish could be done on the fly during the data gathering phase.,"Pros: This software is so easy to use! If you can drag and drop you can make a nice UI and form that is accessible reliably from any mobile platform. We really did have an easy time taking our existing excel sheets, modifying them to a forms on fire friendly format and setting that up. Total effort was about 10 hrs for a form conversion (first time, and done manually).","Cons: We got stuck with a few elements (how to pass data in a certain format) that didn't work, but Forms on fire customer support were available to help us get through it. It turns out it was user error and not Forms on Fire ","April 22, 2022"
Managing Partner,"Real Estate, Unspecified",Used the software for: 2+ years,"Overall: FoF allowed us to create custom inspection forms to match exactly what we needed without any superfluous junk that would just get in the way. Other platforms we looked at required us to use pre-existing templates that would make us either have to ignore or fill out stuff we didn't care about, while FoF allowed us to make custom inspection forms for every aspect of the business for easy tracking/sorting/recording of in-field data that's vital to our business. ","Pros: It allows anyone to customize inspection forms for literally any industry and/or location at an affordable price. Get just what you want, nothing more, nothing less. One-size-fits-all doesn't actually fit anyone; this software fits YOU like a bespoke suit from Lloyd's of London. ","Cons: The interface to make your own forms isn't 100% intuitive, though the amount of time needed to learn is very short and you can be up and running in less than an hour. Subsequent customization of forms is really easy.","April 13, 2018"
CEO,Unspecified,Used the software for: Less than 6 months,"Pros: I'm a CODiE Award judge and have seen a ton of product. Forms On Fire are clearly mobile experts and have built a product that solves a core problem: how to create forms that make everyone's life easier - starting with yours!(No need to hire an army of SW developers who'll take months, only to add so much complexity that end-users won't use them.)In my opinion, here are some best use cases:Marketing & Finance Execs have 100's of new projects requiring input from multiple key stakeholders, critical dependencies and conflicting deadlines (activations, email campaigns, events, trade shows, surveys, new product launches, press releases, content updates etc..). Collaboration meetings are endless, the teams out straight and deadlines are near.The last thing anyone wants to do is fill out a form - unless you can make one that's easy and adds to their productivity, rather than subtracts.Formsonfire let's you create a form for repeatable tasks that you can also pre-set to be sent to the parties you choose to, at the schedule you need. Its intuitive design, the fanatically customer-centric support team and library of visual tutorials, ensure the form you envisioned is exactly what you get. Only you know how your key stakeholders' world works. You can make it easy for them, and they'll make life easier for you.In today's gig economy, (Lyft, Uber, Instacart, Postmates, Jobble etc.),HR onboards 100's or staff, quickly and accurately. Formsonfire's the answer!",Cons: I was able to get started without contacting them for any help. But more tutorials are always welcome.,,
Certified Inspector,Unspecified,Used the software for: Unspecified,"Overall: I run a small business and needed a form built. I had looked at other places but most required you to pay them to build a form and were easily over $2,000. A reason I was attracted to Forms on Fire was they provide DIY templates which can be customized. Before trying to build it myself, I enquired about them building my form. Their estimate came back at the price for an 8 hour retainer(Quite Hefty).At hearing that, I Reckon as long as it doesn't take me 80 hours to build it on my own ill be doing ok. I am not a computer savvy person, I didn't know what many of the names of certain features meant. At the time I thought maybe for a person who's used to building forms with binary code or something crazy this may be an ""easy"" DIY form builder. For a person off the street however, I think it would be very confusing. If it were not for Learning about a free tech support session with one of their staff,I think I would still be banging my head on my desk. Ijumped at the chance to get some insight into this brave new world I had entered. I was astoundingly fortunate to have spent the session with Megan who was absolutely delighted to show me through the form and explain the terminology(FYI they have since put together a bunch of youtube video tutorials).After that amazingly helpful session, I then proceeded to build my entire form for the next three hours( it really is easy once you know what the terminology is). The form has since taken maybe another hour to tweak and add some things to make it perfect. All told from beginning to end it has taken five hours(75 hours ahead of schedule...SAVINGS!). Once I was guided through, it actually became fun. I'm so happy with how it turned out, and it has given me a huge advantage over the competition. I would highly recommend watching the videos, taking the support session(I hope you get to spend the session with megan she is a wonderful guide) and build it yourself. The feeling of accomplishment and knowing its built to your exact specifications, saving money but more importantly time is priceless. cheers!!",,,
Principal Scientist/Project Manager,"Environmental Services, 10,001+ employees",Used the software for: 2+ years,"Overall: We are using Forms on Fire on all our field tablets to gather resident and sampling information. Greatly reduces the use of paper, and minimizes with pull down menus the typing errors, etc.","Pros:  System is flexible, powerful, and easily adaptable to a lot of different applications. We were able to use existing templates and got them integrated into our user platform relatively easy. User friendly, app does save any information entered if you have to quickly exit and loose service.Fantastic customer support.","Cons: Some features are still being worked on, at times can become unstable and crash on us in the field. Fortunately, the entered data is being saved and we loose little time until we are back up and running.","May 15, 2020"
Consultant,Unspecified,Used the software for: Unspecified,"Overall: As a consultant serving a rapidly growing business, I needed a technology I could count on for reliability, scalability, easy configuration, and ease of maintenance. We didn't have the budget for a custom-code software project or to buy a big ERP solution. We had some internal processes and some customer-facing processes that needed to be standardized, controlled, and mobilized to improve our performance against the bottom line and to strengthen our competitive edge. After a great deal of searching, I found Forms On Fire. The incredible flexibility and power of the Forms On Fire platform gave us everything we needed at an incredibly competitive price. One of the greatest things about it is the ease with which we can make changes to and manage the solution ourselves. That was an essential requirement that we had a hard time finding elsewhere.We needed something that could operate smoothly on our mobile devices. Some of our team are using tablets, some on smartphones, and all on a mixture of Android and iOS operating systems. We needed a solution to connect reliably to two external data systems, output PDF documents , and automatically send multiple emails throughout workflow processes. In the past, such a list of requirements would have been extremely expensive to produce and would have required contracting with software developers. When I found Forms On Fire I was elated because I knew I could take care of my client successfully and that many future projects would be a breeze.My clients often see technology implementations as expensive, time-consuming and risky. Forms On Fire really came through and showed us how painless it can be. Their customer service is outstanding and it helps to have competent, responsive help only a phone call away when you're dealing with the information backbone of a business. If you have been searching for something to enable and mobilize your business, Forms On Fire is the best answer I have found. I look forward to further work with them. ",,,
Project Information Manager,"Public Safety, 11-50 employees",Used the software for: 6-12 months,"Overall: Has been excellent. For those familiar with Microsoft Excel the learning curve is gentle and the more one works in the system the more opportunities arise. The support from the Forms on Fire team has been fantastic, better than any other digital platform I've used even outside this space.",Pros: The fact that the platform is a blank slate that allows for a large amount of customization is very important for our organization as it means our digital information management can match the changing circumstances of the work site. The fact as well that it is a no code platform allows for area experts in our field to engage in the development of forms without the need for an extensive IT background.,"Cons: While luckily not the largest issue for us, the fact that there is a limit of 50,000 row in the data sources does mean that there can be a risk regarding large scale operations but there do seem to be some work around that we are exploring for our larger systems.","June 6, 2022"
CEO,"Transportation/Trucking/Railroad, 51-200 employees",Used the software for: 1-2 years,Pros: Loved the easy way to setup our workflow and the form we needed and the easy way of finding our data,Cons: I really don´t have many cons for the type of tool that forms on fire presents itstelf. it does what it says,Alternatives Considered: Google Forms,"April 22, 2022"
Special Projects,"Renewables & Environment, 51-200 employees",Used the software for: 1-2 years,"Overall: We have been working with Forms On Fire for over 2 years and are very pleased with the excellent service and a great product.We use this software to build our own survey apps which are heavy on data and have lots of photos.It is easy to use and building a form is a fairly simple process.We rely heavily on the connectors to save forms to Box and for customer facing reports.Being able to customize a report in Word is amazing when compared to our old mobile survey system.Our field users love the ease of use and the instant update.Regular enhancements and new features keep expanding its usability.Great product with some of the best customer support you will find!","Pros: Ease of use, great support, easy adoption and deployment","Cons: The mapping feature, using GPS function still needs improvement",
Product Development,"Logistics and Supply Chain, 501-1000 employees",Used the software for: 1-2 years,"Overall: We started out using FOF as a basic inspection tool but we've started to realize how powerful it is for tasks such as inventory management. Equally impressive is the ability to generate, email and file really nice templated documents in under a minute. ",Pros: We've used this software for everything from general inspections to land assessments. Except for a few advanced features the software is exceptionally easy to use and I've always received great customer service if I get stuck on something. Offline data capture and offline printing are really powerful features. ,Cons: Not much to dislike. It's a bit tough to get your head around some of the data-source read/write functions....but again their customer-service makes up for it whenever you encounter an issue. ,"June 4, 2019"
Senior Operations Manager,"Logistics and Supply Chain, 501-1000 employees",Used the software for: 1-2 years,Overall: Overall experience with this product has been great,Pros: Easy for end users to complete and share information,Cons: Data not always the way you want for presentation,"April 20, 2020"
QA Manager,"Public Safety, 201-500 employees",Used the software for: 1-2 years,Pros: I love how easy it is to fill out the forms and the ability to add new forms as needed,Cons: In ability to delete a form in the field if you needed to,Switched From: ProntoForms,
IT Manager,"Transportation/Trucking/Railroad, 11-50 employees",Used the software for: 2+ years,"Overall: We have gone completely paperless, which has saved time and money","Pros: I like the customisability of the software, if you can think of something you want, more than likely.... it can do it. Also their support is second to none","Cons: There is nothing really to dislike... sure there are somethings that some people would want. But these guys listen, and usually deliver the goods in updates","May 30, 2019"
,"Management Consulting, 501-1000 employees",Used the software for: 6-12 months,Overall: Ease of use as a designer and user.All of my users are very pleased with user experience. Great support team. ,"Pros: I have used forms on fire for several types of data collection with my team and have had a very positive experience as a form designer and user.The form builder is intuitive and easy to use and very easy to test.I love the fact that they have a windows app, especially when it comes to testing changes on my forms. Make a change, open window app, test and adjust. Anytime I hit a wall and I am not sure what to do, a few minutes spent on the support chat gets me what I need.Forms on fire is flexible, powerful and an economical way to collect the data my team needs from the field. ","Cons: Forms on Fire has a very extensive knowledge base, that could be improved by the addition of some short videos that walk users through some of the more complicated tasks.The support information is all there, I just learn easier when I can see it in action. ","January 26, 2018"
General Manager,"Real Estate, 51-200 employees",Used the software for: 6-12 months,Overall: I found Forms on Fire about a year ago and it's had an unbelievable effect on our operations. I manage a large apartment community and collecting tons of in-field data is essential to what we do. FOF allowed us to create easy-to-use custom forms which streamlined our process and replaced paper entirely. We increased our billings for damage chargebacks by $30k this year due to the ease with which our Maintenance Techs could record the damages and select from pre-populated options - then the form emails a customer-ready PDF right to our Accounting Manager. It's brilliant. You absolutely can't find a better solution than FOF for all of your survey/data collection needs. I'm a raving fan.,"Pros: Ease of use is phenomenal. The customization is really the powerful feature here - you can get exactly what you want, and nothing you don't. It's truly a game changer. Customer support is truly second to none and they know you by name. It's like dealing with a family company. Great experience. ","Cons: Because the customization is so complete, it does take a little while to learn how to use it to its fullest. The learning curve is short, though, and once you make the investment of a couple of hours, you'll be enamored with the abilities. ",
Researcher 1,"Market Research, 501-1000 employees",Used the software for: 6-12 months,"Overall: Overall, I highly recommend Forms On Fire to anyone looking for a powerful and customizable data collection and reporting platform. It's a fantastic tool that has made my work life much easier and more efficient.","Pros: The platform is extremely intuitive and simple to use. It was a breeze to create forms, customize them, and publish them online. I was able to get up and running quickly. Forms On Fire offers a truly impressive level of customization. I was able to customize my forms to my exact specifications, including custom fields, branding, and even conditional logic. This made it simple to collect the precise information I required from my respondents.","Cons: While there were some drawbacks to Forms On Fire, such as the fact that it is more expensive than some other options on the market, I found that the benefits far outweighed the drawbacks.",
Admin,"Construction, 51-200 employees",Used the software for: 1-2 years,Overall: Overall-- 5 stars. The customer service really puts Forms on Fire over the top.,"Pros: Customer support is out of this world. Quick to respond and available to help. Forms on Fire is amazing for our company because we are so spread out, and many of our employees do not have access to a printer when they need it. This enables us to get data from our field guys, and they never have to leave the field to do it. ","Cons: I had a hard time with the connectors and the templates, but it is super easy after being walked through the process.","September 16, 2022"
Teamleiter Qualitätssicherung,"Logistics and Supply Chain, 10,001+ employees",Used the software for: 2+ years,"Overall: I only do have good experiences with forms on fire, using it on a daily basis for forms like ""Damaged Material Reports"" and all othe reports needed within logistics.",Pros: Database to have conformity throughout the organization.Exportable Excel data for further use.NO PAPER!!!Easy use for employees.,"Cons: As being a customer in Germany, german language would be a great thing to have.","July 14, 2021"
Territory Manager,"Consumer Goods, 11-50 employees",Used the software for: 1-2 years,Overall: Great and very useful app...I use FOF daily to record sales and service visits to customers...I rely on historical data to compile reoccurring reports and business updates.I use the app on my smart phoneexclusively.I access product and customer data instantly and on the fly...Questions and concerns can be addressed on the spot with the app...saves tons of time and minimizes call backs.,"Pros: Easy to use...Mobile, comprehensive data, paperless...Archive features...data retention.Shared data...Ability to update and modify data.Portable and photo link feature.",Cons: Occasional redundancy of data inputs...,"April 18, 2020"
Detective,"Law Enforcement, 201-500 employees",Used the software for: Less than 6 months,"Overall: Forms on fire (FOF) allows for businesses to create forms and automate processes that would otherwise be time consuming in the paper world. I tried and reviewed numerous other companies Fast Forms, Pronto Forms and Happy Inspector to name a few to determine the product that best served my needs. I needed a software easy to use, flexible and worked on three platforms iOS, Android and Windows. The ability to design, create and import data in different formats to include software support. Most importantly it needed to be priced affordably. Let me state this clearly, FOF is truly an amazing software that met all my expectations. Most importantly the pricing was lower if not comparable to the competition.The customer service was just insane, they were helpful, provided my with video and live support, one on one session and followed up with me to see if I had questions (I had plenty). What sealed the deal for me was the pricing and the cross platform availability. Megan Jackson of FOF was fantastic and incredibly helpful. As of the posting of this review, FOF redesigned the dashboard and it was no surprise to see that it was astatically pleasing visually and even more functional. Guys keep up the good work!","Pros: The availability to use it on different platforms ios, android and windows. I am not always in the field so when I am on the desktop (Windows) I love that I can open the software edit forms and preview what it will look like without having to use my tablet. ","Cons: I would like to see more flexibility with the logo design, specifically I could not enlarge the logo. I would also like to see a mission or vision field that can be incorporated with the logo design. ",
Safety Coordinator,"Government Administration, 1001-5000 employees",Used the software for: 2+ years,Overall: The app allows me to complete site inspections quickly and accurately identify hazards across the city .Very easy to use and when I get stuck forms on fire support is there to help when needed.,Pros: This software application allowed us to build a easy to use inspection form that captures information and pictures. the system then turns this data into the final report allowing department managers an easy to read report to identify corrections. the forms on fire app does away more than our IT department allowsgreat ways to capture data this is amazing product.,Cons: The only con is that I am not allowed to use all the awesome features available with this product.,
Owner,"Hospitality, 11-50 employees",Used the software for: 6-12 months,"Overall: My business has become 100% more organized thanks to this app; I got exactly what I wanted for a much cheaper price than what others quoted me; the Forms on Fire staff are very friendly, caring and responsive.",Pros: It was customized specifically for my business through one on one consultations and design planning. The price was very affordable compared to the regular cost of developing and maintaining an app. ,"Cons: Look of the menus, etc could be updated to be a little more modern looking but it's not a big deal. Also more data sorting options can be added. ","April 20, 2020"
Owner,"Consumer Services, 1-10 employees",Used the software for: 6-12 months,Overall: Once tediousprogramming process is done. Application runs smooth and is reliable. ,Pros: Designed for mobil devices.Low cost.,Cons: Programming process is ridiculously hard. Once you get a degree in computer programming things might run smoother.But if you have to make a change 6 months later.Go back to school because you would have forgotten all the coding.,"April 19, 2020"
,"Construction, 1001-5000 employees",Used the software for: 6-12 months,Pros: Easy to use for all levels of the business. Automatically send a PDF to your network drive when all approvals are completed. Works well on iPhone and Windows 10.,"Cons: We should be able to select multiple data ""Forms"" when exporting data in Table View. ",,"December 19, 2018"
CEO,"Real Estate, 1-10 employees",Used the software for: 1-2 years,"Overall: It was a little difficult learning how to create my first form, but after talking with their support staff for an hour. I was able to build my custom form from scratch. I have since created many other custom forms on the same platform giving my business the leading edge over my competitors.thank you form on fire for a great software.Cheers",Pros: once the form is created its very user friendly for my employees to fill out in the field,Cons: its difficult to build the back end of the form. Especially if I want to add in some more in depth logic . ,
Quality Engineer Supervisor,"Machinery, 201-500 employees",Used the software for: 1-2 years,Pros: I like that you have many features that can be incorporated in the style that you like. ,Cons: Right now I can't enter a picture after it has been placed in the desktop. I would like that ability.,,
Project Coordinator,"Environmental Services, 11-50 employees",Used the software for: 2+ years,"Overall: Excellent, this app has enabled us to spend more quality time in the field and less time in the office post processing our field visits.It has increased our accuracy and efficiency.Their customer service is second to none.","Pros: Ease of use - we were easily able to train our seasonal/temporary employees in using Forms on Fire.They love it, enables them to spend more time in the field and less on paperwork.No lost data.","Cons: Very occasionally we have a report that is lost in space, but it's the info. is recoverable from the FoF website.","December 19, 2018"
Leasing Agent,"Hospitality, 11-50 employees",Used the software for: 6-12 months,"Overall: This gives my company a quick, consistent paperwork and forms to give our resident's that way someone can have the form they need at a quick time!We also use this to schedule pest control for our residents and that seems to relay the information they need as well. ","Pros: I love how easy this software is to use! I never used this software before and when I was trained on it, it was so quick to understand and the items I need are at a quick access! ","Cons: Sometimes I have to force sync to get what I want to pull up, but nothing too hard to do! ","May 7, 2020"
